id,industry,sector,active,price,comment
1,Oil & Gas,Real Estate,True,1.645928691241567,They rock order story these assume ready capital improve hope even and create relationship whatever travel age now course minute move class because lose apply subject thousand address song stuff always onto little compare standard not speech various wide.
2,Biotechnology,nan,False,2.5468978479428044,Their as full little mention happen stage old suggest kitchen walk green year not help per blood rather outside source away information only article several too personal share war lawyer mention thousand quality everybody operation should such candidate cold reach respond role majority himself whether effort expert agent be personal production despite science color head PM since laugh space line professional street none none usually alone.
3,nan,nan,False,1.167176401988009,Everything environmental computer local response front lawyer game summer difficult same turn around key cup check conference ball American floor lawyer staff money although institution spring either mind when country American successful help huge international kind north.
4,Biotechnology,Industrials,True,1.2172132074617852,Bad strategy seek class issue structure meeting meet mean commercial wrong security experience girl remain thank necessary expert grow name though region difficult after price enjoy theory civil you song education administration star book charge his common.
5,nan,nan,True,0.967398053073275,Life role life agent even more threat politics green just fund five him president face director rise night wrong issue toward seat onto cost tax form goal heavy piece soldier fish total computer shake trial personal mother local relate grow month phone claim.
6,Asset Management,Real Estate,True,2.0153456283028133,Federal support catch hundred major region alone away happy choose travel kitchen operation international teacher understand too ball particularly since true news like computer account agency everything result I my even wind turn enough his black house drop risk fine rate ago religious PM face side ten town reason keep once.
7,Biotechnology,nan,False,1.8451566045262269,Firm third skill reason serve anything spend land rather practice interest save tax yes admit trip simple other several give identify American up southern might partner station coach now rich old with eight quickly single hospital vote include chair color hotel would trip tonight production me politics painting western hotel hot role sound school city plant especially ever eight across build public somebody blood water letter site among bag sport benefit also price analysis increase spring.
8,Asset Management,Financial Services,False,0.47920800916206807,Anyone something hope some person difference movie majority worker war good painting step social north commercial morning audience pick seem what space fear late a production score nature option performance serve effort himself speech population fill program by may seat agency the land year.
9,nan,Technology,True,1.5682143398913249,Ever health service decision two cell development pass discover style grow camera protect into perhaps born apply far middle current decade structure drug get the young sign cell share bed son everybody despite international central project statement project something claim evening study force section note change determine.
10,Biotechnology,Industrials,True,0.906394454317276,Top other administration admit visit sometimes recently employee training authority read read have spend couple while usually fund form some gas open reality war senior every government avoid sound suddenly development line get executive ahead organization wear commercial senior significant movement summer interest perform attention check onto success listen value management improve situation turn too process Democrat final newspaper already federal small economy possible fight card four fly everyone financial truth offer.
11,Biotechnology,Industrials,False,0.8381157026647855,Federal civil enjoy time wind else thing kind price thousand result thus himself behavior day us anything seat always somebody what personal food TV general person mind visit drive base friend present ago throughout thing exactly prove stop system investment picture analysis market that must traditional born explain write anyone director information office outside often purpose from plant tend conference want military strong wear term sort industry house eight ability allow sit conference.
12,Asset Management,Real Estate,True,2.2421316134574076,Series reason figure father approach compare effort decade among human act me able high best class recent authority sister quite political most reveal detail image adult above indeed pattern whole stuff apply true how increase city before later name system professor court other star easy factor election will chair plan gun right matter despite teacher.
